,,
,,
,Keep?,Item
,,BBQ G6 PTZ
,,—
,,—
,,Clear
,X,Bend Upstairs
,,75.0°
,,—
,,—
,,Entry G6 PTZ
,,—
,,—
,,Clear
,,G6 Instant
,,—
,,—
,,Clear
,,G6 Turret
,,—
,,—
,,Clear
,,Garage G5 PTZ
,,—
,,—
,,Clear
,,Makena 4
,,72.7°
,,—
,,—
,,Makena 4 Dew point
,,66.6°
,,—
,,—
,,Makena 4 Feels like
,,72.7°
,,—
,,—
,,Makena 4 Heat index
,,72.7°
,,—
,,—
,,Makena 4 Wet bulb
,,68.5°
,,—
,,—
,,Makena 4 Wet bulb globe
,,69.8°
,,—
,,—
,,Makena 4 Wind chill
,,72.7°
,,—
,,—
,,Makena Beach Dream Machine Pro Makena Beach Dream Machine Pro CPU
,,127.8°
,,—
,,—
,,Makena Beach Dream Machine Pro Makena Beach Dream Machine Pro Local
,,123.8°
,,—
,,—
,,Master Lanai G6 PTZ
,,—
,,—
,,Clear
,,Maui Someone Home
,,—
,,—
,,Clear
,x,Maui-Atrium
,,80.0°
,,66%
,,—
,x,Maui-Atrium Outdoor
,,78.0°
,,70%
,,—
,x,Maui-Bar
,,82.0°
,,64%
,,—
,x,Maui-Bar Outdoor
,,78.0°
,,70%
,,—
,x,Maui-Beach Rm
,,80.0°
,,69%
,,—
,x,Maui-Beach Rm Outdoor
,,78.0°
,,70%
,,—
,x,Maui-BoardRm
,,78.0°
,,60%
,,—
,x,Maui-BoardRm Outdoor
,,78.0°
,,70%
,,—
,x,Maui-Kitchen
,,84.0°
,,63%
,,—
,x,Maui-Kitchen Outdoor
,,78.0°
,,70%
,,—
,x,Maui-MasterBed
,,80.0°
,,70%
,,—
,x,Maui-MasterBed Outdoor
,,78.0°
,,70%
,,—
,x,Maui-Molokini
,,82.0°
,,68%
,,—
,x,Maui-Molokini Outdoor
,,78.0°
,,70%
,,—
,x,Maui-Sitting
,,82.0°
,,65%
,,—
,x,Maui-Sitting Outdoor
,,78.0°
,,70%
,,—
,x,Maui-UpMauka
,,82.0°
,,64%
,,—
,x,Maui-UpMauka Outdoor
,,78.0°
,,70%
,,—
,,MI APARTMENT
,,74.0°
,,39%
,,—
,,MI Bellevue BR
,,76.0°
,,37%
,,—
,,MI KITCHEN
,,78.0°
,,35%
,,—
,,MI MASTER BED
,,78.0°
,,35%
,,—
,,MI OFFICE
,,78.0°
,,35%
,,—
,,MI PUB
,,74.0°
,,37%
,,—
,,MI STAIRS
,,78.0°
,,36%
,,—
,,MI Upper Hall
,,78.0°
,,38%
,,—
,,North G6 Turret
,,—
,,—
,,Clear
,,South G6 Turret
,,—
,,—
,,Clear
,,South Pool G6 PTZ
,,—
,,—
,,Clear
,,Sun Valley
,,55.8°
,,—
,,—
,,Sun Valley Dew point
,,43.3°
,,—
,,—
,,Sun Valley Feels like
,,55.8°
,,—
,,—
,,Sun Valley Heat index
,,55.8°
,,—
,,—
,,Sun Valley Wet bulb
,,48.7°
,,—
,,—
,,Sun Valley Wet bulb globe
,,51.1°
,,—
,,—
,,Sun Valley Wind chill
,,55.8°
,,—
,,—
,,UP sense - Equipment closet
,,85.7°
,,—
,,Clear
,,UP sense - stairs
,,85.6°
,,59%
,,Clear
,,USL- _Bar
,,—
,,—
,,Clear
,,USL- _BBQ
,,—
,,—
,,Clear
,,USL- _Sitting
,,—
,,—
,,Clear
,,USW Pro 24
,,140.0°
,,—
,,—
,,USW Pro Max 48 PoE
,,116.6°
,,—
,,—
